Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
stack	VERB	0	18p0_pert_1	18p0	0	0	5	36	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_1	18p0	0	0	6	37	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_1	18p0	0	0	7	38	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_1	18p0	0	0	8	39	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_1	18p0	0	0	9	40	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_1	18p0	0	0	10	41	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_1	18p0	0	0	11	42	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_1	18p0	0	0	12	43	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_1	18p0	0	0	13	44	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
2	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_1	18p0	0	-1	-1		1	2	How are the operations to stack and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_2	18p0	0	0	0	46	0	0	How are the operations to load and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_2	18p0	0	0	1	47	0	0	How are the operations to load and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_2	18p0	0	0	2	48	0	0	How are the operations to load and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_2	18p0	0	0	3	49	0	0	How are the operations to load and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_2	18p0	0	0	4	50	0	0	How are the operations to load and dequeue elements in a stack implemented ?
load	VERB	0	18p0_pert_2	18p0	0	1	5	51	0	0	How are the operations to load and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_2	18p0	0	0	6	52	0	0	How are the operations to load and dequeue elements in a stack implemented ?
dequeue	NOUN	1	18p0_pert_2	18p0	0	0	7	53	0	0	How are the operations to load and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_2	18p0	0	0	8	54	0	0	How are the operations to load and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_2	18p0	0	0	9	55	0	0	How are the operations to load and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_2	18p0	0	0	10	56	0	0	How are the operations to load and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_2	18p0	0	0	11	57	0	0	How are the operations to load and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_2	18p0	0	0	12	58	0	0	How are the operations to load and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_2	18p0	0	0	13	59	0	0	How are the operations to load and dequeue elements in a stack implemented ?
3	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_2	18p0	0	-1	-1		1	2	How are the operations to load and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_3	18p0	0	0	0	61	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_3	18p0	0	0	1	62	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_3	18p0	0	0	2	63	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_3	18p0	0	0	3	64	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_3	18p0	0	0	4	65	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
divide	VERB	0	18p0_pert_3	18p0	0	1	5	66	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_3	18p0	0	0	6	67	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_3	18p0	0	0	7	68	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_3	18p0	0	0	8	69	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_3	18p0	0	0	9	70	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_3	18p0	0	0	10	71	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_3	18p0	0	0	11	72	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_3	18p0	0	0	12	73	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_3	18p0	0	0	13	74	0	0	How are the operations to divide and dequeue elements in a stack implemented ?
4	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_3	18p0	0	-1	-1		1	2	How are the operations to divide and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_4	18p0	0	0	0	76	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_4	18p0	0	0	1	77	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_4	18p0	0	0	2	78	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_4	18p0	0	0	3	79	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_4	18p0	0	0	4	80	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
sort	VERB	0	18p0_pert_4	18p0	0	1	5	81	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_4	18p0	0	0	6	82	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_4	18p0	0	0	7	83	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_4	18p0	0	0	8	84	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_4	18p0	0	0	9	85	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_4	18p0	0	0	10	86	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_4	18p0	0	0	11	87	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_4	18p0	0	0	12	88	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_4	18p0	0	0	13	89	0	0	How are the operations to sort and dequeue elements in a stack implemented ?
5	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_4	18p0	0	-1	-1		1	2	How are the operations to sort and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_5	18p0	0	0	0	91	0	0	How are the operations to add and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_5	18p0	0	0	1	92	0	0	How are the operations to add and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_5	18p0	0	0	2	93	0	0	How are the operations to add and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_5	18p0	0	0	3	94	0	0	How are the operations to add and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_5	18p0	0	0	4	95	0	0	How are the operations to add and dequeue elements in a stack implemented ?
add	VERB	0	18p0_pert_5	18p0	0	1	5	96	0	0	How are the operations to add and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_5	18p0	0	0	6	97	0	0	How are the operations to add and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_5	18p0	0	0	7	98	0	0	How are the operations to add and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_5	18p0	0	0	8	99	0	0	How are the operations to add and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_5	18p0	0	0	9	100	0	0	How are the operations to add and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_5	18p0	0	0	10	101	0	0	How are the operations to add and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_5	18p0	0	0	11	102	0	0	How are the operations to add and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_5	18p0	0	0	12	103	0	0	How are the operations to add and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_5	18p0	0	0	13	104	0	0	How are the operations to add and dequeue elements in a stack implemented ?
6	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_5	18p0	0	-1	-1		1	2	How are the operations to add and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_6	18p0	0	0	0	106	0	0	How are the operations to index and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_6	18p0	0	0	1	107	0	0	How are the operations to index and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_6	18p0	0	0	2	108	0	0	How are the operations to index and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_6	18p0	0	0	3	109	0	0	How are the operations to index and dequeue elements in a stack implemented ?
to	ADP	0	18p0_pert_6	18p0	0	0	4	110	0	0	How are the operations to index and dequeue elements in a stack implemented ?
index	NOUN	0	18p0_pert_6	18p0	0	1	5	111	0	0	How are the operations to index and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_6	18p0	0	0	6	112	0	0	How are the operations to index and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_6	18p0	0	0	7	113	0	0	How are the operations to index and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_6	18p0	0	0	8	114	0	0	How are the operations to index and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_6	18p0	0	0	9	115	0	0	How are the operations to index and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_6	18p0	0	0	10	116	0	0	How are the operations to index and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_6	18p0	0	0	11	117	0	0	How are the operations to index and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_6	18p0	0	0	12	118	0	0	How are the operations to index and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_6	18p0	0	0	13	119	0	0	How are the operations to index and dequeue elements in a stack implemented ?
7	['SCONJ', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_6	18p0	0	-1	-1		1	2	How are the operations to index and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_7	18p0	0	0	0	121	0	0	How are the operations to list and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_7	18p0	0	0	1	122	0	0	How are the operations to list and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_7	18p0	0	0	2	123	0	0	How are the operations to list and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_7	18p0	0	0	3	124	0	0	How are the operations to list and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_7	18p0	0	0	4	125	0	0	How are the operations to list and dequeue elements in a stack implemented ?
list	VERB	0	18p0_pert_7	18p0	0	1	5	126	0	0	How are the operations to list and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_7	18p0	0	0	6	127	0	0	How are the operations to list and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_7	18p0	0	0	7	128	0	0	How are the operations to list and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_7	18p0	0	0	8	129	0	0	How are the operations to list and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_7	18p0	0	0	9	130	0	0	How are the operations to list and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_7	18p0	0	0	10	131	0	0	How are the operations to list and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_7	18p0	0	0	11	132	0	0	How are the operations to list and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_7	18p0	0	0	12	133	0	0	How are the operations to list and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_7	18p0	0	0	13	134	0	0	How are the operations to list and dequeue elements in a stack implemented ?
8	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_7	18p0	0	-1	-1		1	2	How are the operations to list and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_8	18p0	0	0	0	136	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_8	18p0	0	0	1	137	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_8	18p0	0	0	2	138	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_8	18p0	0	0	3	139	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_8	18p0	0	0	4	140	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
drop	VERB	0	18p0_pert_8	18p0	0	1	5	141	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_8	18p0	0	0	6	142	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_8	18p0	0	0	7	143	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_8	18p0	0	0	8	144	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_8	18p0	0	0	9	145	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_8	18p0	0	0	10	146	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_8	18p0	0	0	11	147	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_8	18p0	0	0	12	148	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_8	18p0	0	0	13	149	0	0	How are the operations to drop and dequeue elements in a stack implemented ?
9	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_8	18p0	0	-1	-1		1	2	How are the operations to drop and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_9	18p0	0	0	0	151	0	0	How are the operations to set and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_9	18p0	0	0	1	152	0	0	How are the operations to set and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_9	18p0	0	0	2	153	0	0	How are the operations to set and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_9	18p0	0	0	3	154	0	0	How are the operations to set and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_9	18p0	0	0	4	155	0	0	How are the operations to set and dequeue elements in a stack implemented ?
set	VERB	0	18p0_pert_9	18p0	0	1	5	156	0	0	How are the operations to set and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_9	18p0	0	0	6	157	0	0	How are the operations to set and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_9	18p0	0	0	7	158	0	0	How are the operations to set and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_9	18p0	0	0	8	159	0	0	How are the operations to set and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_9	18p0	0	0	9	160	0	0	How are the operations to set and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_9	18p0	0	0	10	161	0	0	How are the operations to set and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_9	18p0	0	0	11	162	0	0	How are the operations to set and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_9	18p0	0	0	12	163	0	0	How are the operations to set and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_9	18p0	0	0	13	164	0	0	How are the operations to set and dequeue elements in a stack implemented ?
10	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_9	18p0	0	-1	-1		1	2	How are the operations to set and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_10	18p0	0	0	0	166	0	0	How are the operations to label and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_10	18p0	0	0	1	167	0	0	How are the operations to label and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_10	18p0	0	0	2	168	0	0	How are the operations to label and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_10	18p0	0	0	3	169	0	0	How are the operations to label and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_10	18p0	0	0	4	170	0	0	How are the operations to label and dequeue elements in a stack implemented ?
label	VERB	0	18p0_pert_10	18p0	0	1	5	171	0	0	How are the operations to label and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_10	18p0	0	0	6	172	0	0	How are the operations to label and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_10	18p0	0	0	7	173	0	0	How are the operations to label and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_10	18p0	0	0	8	174	0	0	How are the operations to label and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_10	18p0	0	0	9	175	0	0	How are the operations to label and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_10	18p0	0	0	10	176	0	0	How are the operations to label and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_10	18p0	0	0	11	177	0	0	How are the operations to label and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_10	18p0	0	0	12	178	0	0	How are the operations to label and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_10	18p0	0	0	13	179	0	0	How are the operations to label and dequeue elements in a stack implemented ?
11	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_10	18p0	0	-1	-1		1	2	How are the operations to label and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_11	18p0	0	0	0	181	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_11	18p0	0	0	1	182	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_11	18p0	0	0	2	183	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_11	18p0	0	0	3	184	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_11	18p0	0	0	4	185	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
distribute	VERB	0	18p0_pert_11	18p0	0	1	5	186	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_11	18p0	0	0	6	187	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_11	18p0	0	0	7	188	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_11	18p0	0	0	8	189	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_11	18p0	0	0	9	190	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_11	18p0	0	0	10	191	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_11	18p0	0	0	11	192	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_11	18p0	0	0	12	193	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_11	18p0	0	0	13	194	0	0	How are the operations to distribute and dequeue elements in a stack implemented ?
12	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_11	18p0	0	-1	-1		1	2	How are the operations to distribute and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_12	18p0	0	0	0	196	0	0	How are the operations to move and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_12	18p0	0	0	1	197	0	0	How are the operations to move and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_12	18p0	0	0	2	198	0	0	How are the operations to move and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_12	18p0	0	0	3	199	0	0	How are the operations to move and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_12	18p0	0	0	4	200	0	0	How are the operations to move and dequeue elements in a stack implemented ?
move	VERB	0	18p0_pert_12	18p0	0	1	5	201	0	0	How are the operations to move and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_12	18p0	0	0	6	202	0	0	How are the operations to move and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_12	18p0	0	0	7	203	0	0	How are the operations to move and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_12	18p0	0	0	8	204	0	0	How are the operations to move and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_12	18p0	0	0	9	205	0	0	How are the operations to move and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_12	18p0	0	0	10	206	0	0	How are the operations to move and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_12	18p0	0	0	11	207	0	0	How are the operations to move and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_12	18p0	0	0	12	208	0	0	How are the operations to move and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_12	18p0	0	0	13	209	0	0	How are the operations to move and dequeue elements in a stack implemented ?
